purpose,isjointapplication,loanamount,interestrate,monthlypayment,grade,residentialstate,homeownership,annualincome,incomeverified,dtiratio,lengthcredithistory,numtotalcreditlines,numopencreditlines,numopencreditlines1year,revolvingbalance,revolvingutilizationrate,numderogatoryrec,numdelinquency2years,numchargeoff1year,numinquiries6mon,loan_year,loan_month,loan_dayofweek,term_months,default_flag
debtconsolidation,0.0,18067.0,15.3,506,A3,NV,own,57898,0,13.73,5,14,12.0,4,15241,53.64,0,20,11,0,2015,5,4,48.0,0
debtconsolidation,1.0,24085.0,13.74,557,B2,WI,own,51667,1,7.89,4,25,25.0,19,14639,42.14,0,0,0,2,2016,3,2,60.0,0
debtconsolidation,0.0,21298.0,6.94,421,C1,DE,mortgage,52092,1,21.9,4,19,11.0,6,12296,50.46,0,0,0,1,2014,8,6,60.0,0
homeimprovement,0.0,27036.0,12.72,722,A3,OR,mortgage,56815,1,20.38,13,14,9.0,4,15763,45.89,0,0,0,1,2015,5,4,48.0,0
homeimprovement,0.0,18883.0,9.76,477,C2,WY,mortgage,50693,0,18.0,4,2,2.0,2,11729,69.1,0,0,0,0,2015,11,3,48.0,0
debtconsolidation,0.0,23140.0,14.89,801,E2,CA,rent,55230,1,13.89,10,15,10.0,4,10630,48.11,0,0,0,0,2014,10,0,36.0,0
debtconsolidation,0.0,16569.0,7.15,513,E1,MN,own,60827,0,20.85,5,13,7.0,5,13469,26.7,0,0,0,2,2016,5,3,36.0,0
education,0.0,24686.0,6.39,482,A3,FL,rent,59391,1,22.04,29,16,11.0,7,20634,86.97,0,0,0,1,2016,5,6,60.0,0
debtconsolidation,1.0,16905.0,10.16,547,D1,IL,own,59310,1,23.16,9,17,13.0,11,18467,53.47,0,0,0,0,2016,2,0,36.0,0
debtconsolidation,0.0,14369.0,11.61,475,D1,KY,rent,52467,1,23.29,7,16,9.0,8,14767,44.55,0,0,0,0,2016,3,0,36.0,0
debtconsolidation,0.0,17045.0,7.67,343,B1,CO,own,55743,1,16.32,7,17,10.0,6,15808,56.17,0,1,1,0,2015,8,4,60.0,0
debtconsolidation,0.0,16621.0,13.65,565,C1,CA,mortgage,53344,1,18.23,2,9,7.0,6,18223,59.89,10,0,0,0,2016,6,2,36.0,0
debtconsolidation,0.0,20006.0,11.25,437,A3,CA,mortgage,51664,1,4.15,4,8,7.0,5,14902,82.14,0,6,5,0,2014,6,1,60.0,0
debtconsolidation,0.0,17245.0,11.01,375,C2,IA,mortgage,53636,1,18.88,34,18,13.0,6,16896,83.05,0,17,13,0,2014,10,2,60.0,0
education,0.0,23100.0,9.19,737,B3,KS,own,51629,0,18.14,2,8,8.0,4,16411,86.53,0,0,0,2,2015,4,6,36.0,0
homeimprovement,0.0,22080.0,12.16,493,C1,MA,rent,57068,1,19.01,5,20,18.0,13,15588,30.9,0,2,2,2,2015,12,4,60.0,0
debtconsolidation,0.0,25544.0,12.73,857,D1,ME,mortgage,61537,1,17.62,36,20,12.0,9,16619,74.44,0,0,0,1,2015,3,1,36.0,0
debtconsolidation,0.0,17654.0,7.45,353,D2,NJ,rent,59617,0,15.41,3,14,11.0,8,13517,74.18,0,0,0,1,2014,7,2,60.0,0
debtconsolidation,0.0,19269.0,12.59,645,B2,IA,own,57814,1,13.56,1,13,13.0,7,13481,63.29,0,0,0,2,2015,9,3,36.0,0
debtconsolidation,0.0,22680.0,8.46,465,A1,IL,own,55134,0,19.32,3,16,12.0,11,17909,60.31,0,0,0,0,2014,6,3,60.0,0
debtconsolidation,0.0,20150.0,7.47,487,D1,CA,rent,50043,1,14.7,10,16,10.0,6,10506,68.3,0,0,0,1,2016,4,0,48.0,0
debtconsolidation,0.0,17101.0,18.01,434,D3,SC,mortgage,47946,1,27.06,9,9,5.0,5,14027,75.35,15,0,0,1,2016,3,0,60.0,1
debtconsolidation,0.0,38541.0,7.08,1191,B1,CA,rent,51151,1,20.05,1,13,11.0,5,13846,98.46,0,0,0,0,2014,7,2,36.0,0
debtconsolidation,0.0,18168.0,8.61,574,C1,ND,rent,58704,1,14.88,6,8,4.0,3,17810,68.84,0,10,9,3,2014,5,1,36.0,0
debtconsolidation,0.0,16314.0,13.74,377,A1,RI,own,51283,1,25.62,19,15,11.0,7,17283,79.25,0,0,0,0,2015,10,4,60.0,0
debtconsolidation,0.0,18038.0,15.95,634,A3,IA,own,54967,1,19.82,13,12,12.0,6,12430,36.21,0,0,0,1,2015,7,0,36.0,0
debtconsolidation,0.0,23785.0,13.1,803,B3,DC,mortgage,51844,1,21.72,10,17,15.0,11,12544,77.54,0,0,0,0,2016,2,3,36.0,1
debtconsolidation,0.0,15555.0,8.53,319,C3,FL,rent,56343,1,19.76,25,21,15.0,13,13389,39.47,0,16,13,3,2016,1,6,60.0,0
debtconsolidation,0.0,15893.0,5.8,306,A2,SD,own,50920,0,18.38,28,15,12.0,12,17370,42.2,0,0,0,13,2015,3,4,60.0,0
debtconsolidation,0.0,15053.0,11.35,392,A3,OR,own,53315,1,18.0,5,17,15.0,5,12771,66.05,0,0,0,0,2014,7,1,48.0,0
debtconsolidation,0.0,21261.0,5.47,642,C2,NJ,mortgage,52260,0,16.09,7,12,10.0,8,14875,56.31,0,0,0,0,2015,7,0,36.0,0
debtconsolidation,0.0,20606.0,14.36,483,C3,OK,mortgage,59083,1,20.25,5,11,10.0,9,13076,62.33,0,0,0,0,2014,11,6,60.0,0
debtconsolidation,0.0,17746.0,15.11,616,B3,MD,mortgage,58057,1,12.37,8,13,9.0,4,12165,64.29,0,0,0,0,2015,7,1,36.0,0
debtconsolidation,1.0,15742.0,16.49,387,B2,NM,rent,54310,0,13.58,10,19,15.0,12,11288,74.72,0,0,0,1,2015,5,6,60.0,0
debtconsolidation,0.0,22857.0,8.6,564,B1,DE,own,53980,0,11.17,6,6,4.0,3,13353,67.92,0,2,2,0,2014,9,4,48.0,0
debtconsolidation,0.0,18252.0,13.32,418,A1,NC,rent,51060,1,19.5,10,14,13.0,12,14042,83.44,0,0,0,17,2014,9,5,60.0,0
debtconsolidation,0.0,21295.0,6.94,657,B1,NC,own,59147,0,25.04,31,13,7.0,3,18794,48.95,0,0,0,0,2015,6,1,36.0,0
debtconsolidation,0.0,26659.0,5.43,619,B3,IN,rent,52014,0,18.64,21,12,7.0,5,17585,53.43,0,0,0,0,2014,9,0,48.0,0
debtconsolidation,0.0,14246.0,14.93,396,E3,WY,rent,54799,0,22.16,3,15,11.0,10,13012,83.94,0,0,0,2,2015,2,2,48.0,1
debtconsolidation,0.0,25010.0,4.85,748,D1,NV,rent,59042,1,9.76,32,11,8.0,7,13381,61.76,0,20,14,0,2014,10,1,36.0,0
other,0.0,20348.0,9.46,511,C3,KS,rent,56498,0,26.4,6,19,10.0,10,14713,18.41,0,3,3,0,2015,3,6,48.0,0
debtconsolidation,0.0,17298.0,7.07,415,C1,PA,own,52317,1,12.69,37,10,7.0,6,16751,77.44,15,11,11,3,2016,2,4,48.0,1
debtconsolidation,0.0,24332.0,12.99,820,A3,NE,own,56432,1,7.51,21,8,8.0,4,12406,47.77,0,8,8,0,2015,10,2,36.0,0
debtconsolidation,0.0,19324.0,16.41,683,B3,NY,mortgage,49990,1,20.0,6,18,17.0,7,13943,69.9,0,0,0,18,2014,8,6,36.0,0
debtconsolidation,1.0,14888.0,10.29,380,C3,NY,own,50799,1,17.85,2,12,6.0,4,15149,89.3,0,0,0,3,2016,3,0,48.0,0
debtconsolidation,0.0,13306.0,10.84,435,B3,DC,mortgage,57267,1,15.85,5,15,14.0,14,13372,57.29,0,10,7,2,2014,5,5,36.0,0
debtconsolidation,0.0,22755.0,10.37,581,B3,MO,rent,52637,1,17.9,9,23,15.0,14,15061,53.99,0,0,0,0,2014,7,3,48.0,0
debtconsolidation,0.0,22487.0,12.95,511,B1,CT,rent,50706,1,13.81,6,21,18.0,17,11783,57.02,7,5,5,2,2015,2,0,60.0,0
debtconsolidation,0.0,27739.0,11.35,913,B2,RI,mortgage,52780,1,16.88,4,19,17.0,9,16950,57.38,0,5,4,0,2015,12,2,36.0,0
debtconsolidation,0.0,23014.0,9.0,732,E1,MT,mortgage,53036,1,24.3,4,21,19.0,10,12349,100.0,0,0,0,0,2014,8,4,36.0,1
debtconsolidation,0.0,18389.0,9.12,383,A2,DC,rent,55437,0,17.54,12,10,8.0,8,15004,67.51,0,0,0,0,2016,3,5,60.0,0
debtconsolidation,0.0,15546.0,9.55,498,A3,GA,mortgage,54137,1,9.09,1,15,11.0,4,13123,61.62,0,0,0,0,2016,2,1,36.0,0
debtconsolidation,0.0,20876.0,7.08,501,B3,TN,mortgage,60718,1,19.11,2,11,11.0,9,19205,79.7,0,0,0,0,2016,1,5,48.0,0
debtconsolidation,0.0,20600.0,12.04,539,A1,NV,rent,56189,1,19.85,3,9,5.0,3,14696,67.33,0,3,2,3,2015,5,3,48.0,0
debtconsolidation,0.0,26719.0,12.55,602,B1,AR,rent,57594,1,10.97,2,6,4.0,2,14892,56.93,0,5,3,0,2015,10,6,60.0,0
debtconsolidation,0.0,24191.0,11.67,800,A3,ID,own,56329,1,18.23,5,13,12.0,4,14778,62.89,0,0,0,12,2016,4,0,36.0,0
debtconsolidation,0.0,20809.0,10.12,529,A2,FL,own,57665,0,28.23,5,10,6.0,2,18377,65.83,0,0,0,0,2015,1,5,48.0,0
debtconsolidation,0.0,23961.0,18.06,705,B3,AZ,rent,50374,0,21.71,16,18,11.0,5,14594,56.97,0,1,1,1,2015,12,5,48.0,0
debtconsolidation,0.0,18419.0,7.67,574,C1,TX,own,52517,1,14.55,2,10,10.0,9,10451,47.47,0,0,0,0,2014,12,0,36.0,0
debtconsolidation,0.0,27783.0,9.83,894,B2,CA,own,53512,1,13.71,5,6,6.0,4,17802,63.54,0,9,7,0,2014,6,0,36.0,0
debtconsolidation,0.0,17611.0,13.22,474,C2,OH,mortgage,49797,0,21.38,5,15,8.0,3,18549,76.13,0,0,0,1,2016,6,1,48.0,0
debtconsolidation,0.0,20210.0,15.42,705,E1,MT,own,51731,1,28.09,1,18,15.0,9,11173,84.03,1,1,1,12,2016,6,2,36.0,1
debtconsolidation,0.0,20619.0,6.82,407,A3,IL,mortgage,55226,1,15.18,2,16,14.0,10,17871,82.63,0,0,0,0,2016,4,1,60.0,0
debtconsolidation,1.0,22471.0,8.16,457,B2,NY,own,48993,1,24.48,5,16,10.0,5,12067,75.48,0,0,0,1,2015,11,0,60.0,0
debtconsolidation,0.0,25399.0,12.0,565,C2,KS,own,50941,1,24.57,4,18,13.0,8,15538,49.09,0,0,0,0,2016,1,6,60.0,1
debtconsolidation,0.0,21516.0,6.02,506,D1,DC,own,53599,0,14.84,38,13,12.0,10,15089,70.65,1,0,0,0,2015,2,1,48.0,0
debtconsolidation,0.0,20540.0,14.47,707,A1,AR,rent,48602,1,17.33,3,11,8.0,3,13407,80.46,0,0,0,0,2015,5,3,36.0,0
debtconsolidation,0.0,22954.0,6.21,541,B2,OK,own,52594,1,15.01,20,16,11.0,4,15004,68.27,0,0,0,10,2015,2,3,48.0,0
debtconsolidation,0.0,17632.0,21.71,484,A1,CT,mortgage,55417,1,6.71,6,18,10.0,5,16629,59.22,0,0,0,1,2015,7,3,60.0,0
debtconsolidation,0.0,27035.0,12.86,613,A1,OR,rent,55366,1,8.4,14,10,8.0,6,12950,67.73,0,0,0,2,2014,9,3,60.0,0
debtconsolidation,0.0,19063.0,7.3,459,A3,WY,mortgage,56997,1,15.37,9,18,13.0,9,17485,77.9,0,0,0,0,2015,9,5,48.0,0
debtconsolidation,0.0,14893.0,19.68,451,A1,MA,own,51417,1,11.34,18,16,9.0,3,19502,67.56,0,0,0,0,2015,2,2,48.0,0
healthcare,1.0,20059.0,6.83,396,A2,TX,mortgage,52860,1,12.31,9,15,10.0,10,12841,69.58,13,1,1,0,2016,3,6,60.0,0
debtconsolidation,0.0,23908.0,17.96,607,E1,KY,rent,57111,0,19.14,3,8,5.0,5,12087,63.55,3,0,0,1,2014,11,0,60.0,0
debtconsolidation,0.0,27863.0,10.13,901,D1,FL,rent,56058,1,16.86,2,17,15.0,6,15637,45.06,0,11,7,0,2016,5,5,36.0,0
debtconsolidation,0.0,17615.0,9.25,440,C2,AZ,rent,59552,0,15.48,30,10,6.0,3,17185,36.22,0,0,0,0,2015,11,3,48.0,0
debtconsolidation,0.0,17629.0,8.04,358,E3,NY,own,52687,1,20.61,2,20,14.0,13,15749,68.93,1,0,0,1,2014,9,6,60.0,0
debtconsolidation,0.0,16843.0,9.69,425,D3,WA,rent,52668,0,15.08,13,16,16.0,15,17178,83.56,0,0,0,0,2015,2,1,48.0,0
debtconsolidation,0.0,21924.0,10.09,467,B2,CA,own,53009,1,19.15,6,17,15.0,7,16530,53.76,0,8,5,0,2015,7,3,60.0,0
debtconsolidation,0.0,21308.0,12.43,712,D3,CT,own,56609,1,23.53,2,23,12.0,8,11471,57.23,0,0,0,0,2014,7,0,36.0,1
debtconsolidation,0.0,22198.0,17.27,794,A3,IA,mortgage,52973,1,16.26,30,6,6.0,4,17888,51.89,0,18,11,0,2015,1,2,36.0,0
debtconsolidation,0.0,11436.0,11.65,252,D3,MT,mortgage,54389,1,15.95,6,19,15.0,7,17205,78.88,0,0,0,1,2015,12,5,60.0,0
debtconsolidation,0.0,21030.0,10.41,538,B3,AZ,rent,52965,0,21.29,2,12,9.0,7,15929,57.67,0,0,0,2,2015,6,1,48.0,0
debtconsolidation,0.0,20888.0,9.82,672,A1,AL,own,56011,1,22.75,5,9,8.0,6,15215,57.22,0,0,0,0,2014,12,1,36.0,0
homeimprovement,0.0,14817.0,7.94,361,C1,WA,mortgage,60631,1,12.08,36,17,13.0,10,15631,88.76,0,1,1,0,2015,8,2,48.0,0
homeimprovement,0.0,32954.0,11.25,721,C1,NM,own,57139,1,18.28,2,18,9.0,3,13593,68.01,10,0,0,0,2016,3,5,60.0,0
debtconsolidation,0.0,17923.0,13.49,412,C2,TX,rent,52069,0,16.69,2,13,9.0,8,12803,37.96,0,0,0,0,2015,9,4,60.0,0
debtconsolidation,0.0,28597.0,12.35,758,C1,NY,mortgage,60981,1,22.27,9,19,10.0,9,12904,51.55,1,0,0,0,2015,6,3,48.0,0
debtconsolidation,0.0,22523.0,10.07,479,B2,IN,rent,54493,0,16.17,2,19,16.0,6,17475,66.81,13,0,0,2,2015,11,2,60.0,0
debtconsolidation,0.0,31399.0,11.78,1040,B3,NE,mortgage,51664,0,6.63,6,15,12.0,7,14023,49.57,0,0,0,0,2016,2,4,36.0,0
debtconsolidation,0.0,19703.0,13.34,452,C3,IL,rent,54918,1,22.81,7,21,15.0,14,20889,88.65,0,0,0,0,2014,9,1,60.0,0
debtconsolidation,0.0,18079.0,6.77,556,D3,AL,mortgage,56754,1,22.17,39,9,5.0,2,12825,13.92,0,0,0,2,2015,10,1,36.0,0
healthcare,0.0,21483.0,5.59,650,A2,NV,rent,56128,1,11.87,7,18,17.0,15,17282,73.44,0,0,0,1,2015,7,5,36.0,0
debtconsolidation,0.0,20645.0,15.4,579,A3,DE,mortgage,55735,1,20.19,9,20,11.0,4,17274,60.31,0,0,0,2,2015,1,4,48.0,0
business,0.0,18890.0,12.43,501,B1,FL,own,50408,1,6.51,9,21,16.0,7,16519,58.6,0,0,0,0,2015,10,0,48.0,0
debtconsolidation,0.0,23626.0,5.55,452,C1,NC,own,52887,0,20.22,20,15,9.0,4,7555,39.09,0,20,20,0,2016,3,3,60.0,0
debtconsolidation,0.0,19979.0,8.68,412,E3,MI,own,53537,1,13.42,30,20,16.0,10,15509,66.53,0,1,1,1,2015,2,0,60.0,1
debtconsolidation,0.0,24596.0,16.92,709,C3,AR,mortgage,61058,1,23.09,6,12,9.0,6,13951,53.74,0,0,0,1,2014,11,4,48.0,0
debtconsolidation,0.0,17001.0,5.2,511,A3,FL,mortgage,60109,0,20.98,2,14,13.0,10,10150,78.18,0,0,0,5,2015,5,6,36.0,0
debtconsolidation,0.0,22083.0,7.21,684,C1,IL,own,56489,0,14.89,9,9,8.0,7,14769,91.23,0,0,0,0,2016,3,2,36.0,0
education,0.0,21558.0,8.02,526,A3,PA,rent,53669,1,14.12,5,11,10.0,7,15130,52.26,0,0,0,3,2016,5,0,48.0,0
debtconsolidation,0.0,18981.0,6.54,582,C2,NY,rent,56179,1,15.45,5,12,6.0,5,16970,68.22,0,0,0,0,2016,2,3,36.0,0
debtconsolidation,0.0,15040.0,15.05,358,A1,GA,mortgage,56201,0,23.32,4,17,9.0,4,18464,75.19,1,0,0,1,2016,6,0,60.0,0
debtconsolidation,0.0,14857.0,6.0,452,B2,VA,rent,53675,1,18.22,9,11,9.0,7,16683,49.12,0,0,0,0,2014,6,0,36.0,0
debtconsolidation,0.0,29952.0,12.77,800,B3,FL,own,59719,0,20.08,38,5,5.0,4,14914,22.34,14,0,0,2,2016,2,0,48.0,0
debtconsolidation,0.0,15940.0,13.93,370,C1,DC,own,54626,0,10.85,10,12,6.0,5,16730,54.73,0,0,0,0,2014,11,5,60.0,0
debtconsolidation,0.0,25811.0,14.06,883,D1,CA,mortgage,55952,1,23.97,7,18,14.0,12,13916,68.21,0,0,0,0,2015,12,6,48.0,0
homeimprovement,0.0,16750.0,6.55,514,A2,FL,rent,59295,1,16.97,6,20,14.0,11,17113,92.87,0,0,0,0,2016,2,3,36.0,0
business,0.0,24904.0,10.41,637,A1,MN,mortgage,56538,1,19.7,9,15,12.0,6,15393,79.28,0,7,6,0,2016,1,4,48.0,0
healthcare,0.0,12519.0,9.85,403,D3,FL,mortgage,54258,1,14.93,36,13,11.0,9,14597,68.04,0,0,0,0,2015,1,4,36.0,0
debtconsolidation,0.0,16867.0,11.65,557,A3,SC,rent,56140,0,7.17,10,16,14.0,8,14342,86.44,0,6,5,1,2015,7,3,36.0,0
other,0.0,21464.0,6.38,508,E2,IA,mortgage,52679,1,16.85,7,20,19.0,10,12726,64.75,0,0,0,0,2014,8,0,48.0,0
debtconsolidation,0.0,23370.0,9.39,490,B3,FL,rent,52869,1,22.76,4,13,9.0,7,16827,44.34,0,0,0,1,2014,7,1,60.0,0
debtconsolidation,0.0,14582.0,11.83,483,B3,FL,mortgage,54418,1,9.89,1,19,11.0,7,13935,74.09,0,0,0,0,2014,12,1,36.0,0
debtconsolidation,0.0,26161.0,11.7,578,A3,AL,rent,59298,1,12.01,2,21,19.0,14,18108,67.65,0,0,0,2,2015,6,2,60.0,0
business,0.0,27465.0,18.15,809,B1,WA,mortgage,63152,0,16.38,4,18,14.0,9,15379,49.85,0,1,1,0,2015,1,5,48.0,0
other,0.0,24305.0,11.87,806,A1,TN,rent,57378,1,23.6,8,17,14.0,6,13025,63.48,0,0,0,0,2015,11,1,36.0,0
debtconsolidation,0.0,26957.0,15.65,759,A2,OH,rent,57287,1,25.61,5,19,15.0,14,13226,72.61,0,1,1,1,2016,3,5,48.0,0
debtconsolidation,0.0,23716.0,13.24,639,A2,SD,rent,61362,1,11.1,10,18,14.0,7,14032,87.08,0,0,0,1,2015,2,3,48.0,0
debtconsolidation,0.0,28843.0,14.3,676,C1,MS,own,53737,0,7.21,3,15,9.0,4,18702,34.6,0,0,0,0,2016,5,5,60.0,0
debtconsolidation,0.0,22562.0,4.81,518,E1,WA,mortgage,50042,1,22.34,8,21,11.0,7,11742,65.56,9,0,0,0,2014,10,0,48.0,1
debtconsolidation,0.0,24394.0,8.01,495,A3,CA,rent,55407,1,19.25,1,19,16.0,15,13270,75.12,0,0,0,1,2016,1,5,60.0,0
debtconsolidation,0.0,18580.0,7.38,371,A1,DE,own,58066,1,18.59,1,11,10.0,7,14148,80.9,0,1,1,0,2015,1,6,60.0,0
debtconsolidation,0.0,28233.0,6.4,551,A2,CA,mortgage,56583,1,19.24,6,22,16.0,12,14238,79.23,0,0,0,1,2015,1,2,60.0,0
debtconsolidation,0.0,25129.0,5.22,477,B1,CA,mortgage,53200,0,17.32,1,13,7.0,6,14879,58.17,0,0,0,0,2014,6,2,60.0,0
debtconsolidation,0.0,21173.0,6.35,413,A3,FL,mortgage,53027,1,15.54,4,14,11.0,4,9828,55.06,0,1,1,1,2016,1,5,60.0,0
debtconsolidation,0.0,19733.0,8.97,491,A2,MS,mortgage,53645,1,19.69,5,15,14.0,13,11555,86.32,0,0,0,1,2014,10,5,48.0,0
debtconsolidation,0.0,25335.0,14.72,875,B3,SD,mortgage,55205,0,21.62,6,21,21.0,18,13131,61.88,0,0,0,1,2015,9,1,36.0,0
debtconsolidation,0.0,22250.0,10.09,719,A1,MT,mortgage,52825,0,21.32,19,11,9.0,6,15636,90.68,0,0,0,0,2014,12,1,36.0,0
debtconsolidation,0.0,18363.0,13.43,623,B3,FL,rent,52590,1,14.34,7,4,3.0,2,12055,65.63,0,0,0,1,2015,6,0,36.0,0
debtconsolidation,0.0,9778.0,5.67,228,A3,IN,own,54631,0,17.5,28,18,15.0,6,12990,55.63,0,0,0,0,2015,12,4,48.0,0
debtconsolidation,0.0,30715.0,9.02,765,A1,GA,mortgage,52954,0,23.69,10,18,18.0,16,14253,50.7,0,0,0,3,2014,8,5,48.0,0
business,0.0,14767.0,16.1,419,B1,TN,mortgage,55687,1,12.97,2,9,8.0,7,14656,73.88,0,0,0,1,2014,9,2,48.0,0
debtconsolidation,0.0,21559.0,9.37,689,D3,WA,own,57331,1,26.92,31,15,13.0,13,19485,64.46,0,1,1,0,2014,5,1,36.0,0
homeimprovement,0.0,18233.0,11.05,472,D3,TX,mortgage,52122,1,22.25,23,15,9.0,6,17191,62.77,0,3,2,0,2016,5,1,48.0,1
debtconsolidation,0.0,25371.0,17.77,914,D2,AZ,mortgage,54803,1,11.54,4,11,8.0,7,14805,93.39,0,0,0,0,2016,5,0,36.0,0
debtconsolidation,0.0,19942.0,14.09,465,A3,MN,rent,53923,1,21.52,31,13,12.0,11,16772,51.83,0,0,0,0,2014,5,0,60.0,0
debtconsolidation,0.0,17067.0,10.09,551,A3,KS,rent,56535,1,25.96,5,16,14.0,6,14991,61.47,0,5,4,0,2014,9,1,36.0,0
debtconsolidation,1.0,19318.0,5.26,581,A1,NV,mortgage,54639,1,13.78,6,8,6.0,2,15747,61.13,0,0,0,4,2016,1,2,36.0,0
debtconsolidation,0.0,28652.0,14.64,792,C3,MA,own,55951,1,16.79,2,12,11.0,7,15646,58.76,0,1,1,0,2015,2,6,48.0,0
debtconsolidation,0.0,21881.0,14.42,514,B1,NY,rent,56704,0,27.02,7,10,10.0,6,16076,33.12,0,0,0,1,2016,4,3,60.0,0
debtconsolidation,0.0,20963.0,10.92,541,A2,FL,mortgage,49504,1,9.49,3,19,14.0,10,15586,76.95,0,0,0,0,2016,5,3,48.0,0
debtconsolidation,0.0,20287.0,7.58,632,C2,MA,own,53345,0,20.82,6,14,12.0,7,18063,78.16,0,0,0,1,2015,6,2,36.0,0
debtconsolidation,0.0,23640.0,6.93,467,A1,TX,rent,57073,1,22.08,2,13,7.0,3,13983,62.36,0,0,0,0,2016,2,3,60.0,0
debtconsolidation,0.0,15782.0,13.4,427,E1,IN,mortgage,51872,0,17.29,2,15,9.0,9,11992,82.45,0,0,0,18,2015,10,4,48.0,0
debtconsolidation,0.0,21491.0,10.86,702,B1,ND,rent,58815,1,9.42,4,15,11.0,4,15309,47.19,0,1,1,0,2015,3,6,36.0,0
debtconsolidation,0.0,13795.0,15.96,391,B1,KY,mortgage,54985,1,16.6,1,21,15.0,13,18122,42.86,0,2,1,0,2014,5,2,48.0,0
debtconsolidation,0.0,19658.0,8.32,483,B1,FL,rent,52190,1,15.58,7,20,12.0,6,10529,61.65,0,0,0,2,2014,10,3,48.0,0
debtconsolidation,0.0,19216.0,15.84,674,E3,MT,own,54979,0,18.87,24,18,11.0,11,15187,60.76,0,0,0,1,2015,5,4,36.0,0
debtconsolidation,0.0,19334.0,10.08,491,A1,NJ,rent,58771,0,19.57,3,20,17.0,14,14059,36.02,0,0,0,1,2015,2,3,48.0,0
debtconsolidation,0.0,20882.0,6.41,494,A2,CA,own,57869,1,23.77,5,12,7.0,4,14194,66.3,0,0,0,0,2015,5,5,48.0,0
debtconsolidation,0.0,25573.0,8.39,523,D2,CO,rent,48277,1,14.6,2,21,21.0,19,12959,49.68,1,0,0,16,2014,8,4,60.0,1
homeimprovement,0.0,13448.0,10.81,439,A1,WA,own,53047,1,17.58,25,11,7.0,7,19405,65.27,0,0,0,2,2015,5,5,36.0,0
other,0.0,20293.0,8.21,497,A1,DC,own,53122,0,17.87,4,6,6.0,6,14717,71.44,0,1,1,1,2015,7,6,48.0,0
healthcare,0.0,24542.0,7.06,588,A2,DE,rent,56383,1,19.22,10,16,11.0,11,14169,57.96,0,1,1,0,2014,11,0,48.0,0
