,count,mean,std,min,25%,50%,75%,max
prosperprincipaloutstanding,22085.0,2930.313905818428,3806.635075073749,0.0,0.0,1626.55,4126.72,23450.95
scorexchangeattimeoflisting,18928.0,-3.2232142857142856,50.06356709456583,-209.0,-35.0,-3.0,25.0,286.0
loancurrentdaysdelinquent,113937.0,152.81653896451547,466.32025364293105,0.0,0.0,0.0,0.0,2704.0
loanfirstdefaultedcyclenumber,16952.0,16.268463898065125,9.00589814794928,0.0,9.0,14.0,22.0,44.0
loanmonthssinceorigination,113937.0,31.89688161001255,29.974183975717274,0.0,6.0,21.0,65.0,100.0
loannumber,113937.0,69444.47427086899,38930.47960960502,1.0,37332.0,68599.0,101901.0,136486.0
loanoriginalamount,113937.0,8337.013849759078,6245.800580170149,1000.0,4000.0,6500.0,12000.0,35000.0
monthlyloanpayment,113937.0,272.4757831082089,192.69781219688187,0.0,131.62,217.74,371.58,2251.51
lp_customerpayments,113937.0,4183.079489185251,4790.907234159033,-2.3499,1005.76,2583.83,5548.4,40702.39
lp_customerprincipalpayments,113937.0,3105.536587871368,4069.5276704781845,0.0,500.89,1587.5,4000.0,35000.0
lp_interestandfees,113937.0,1077.542901313884,1183.4141683259845,-2.3499,274.87,700.8401,1458.54,15617.03
lp_servicefees,113937.0,-54.7256410999061,60.67542476132584,-664.87,-73.18,-34.44,-13.92,32.06
lp_collectionfees,113937.0,-14.242697505639082,109.23275801049708,-9274.75,0.0,0.0,0.0,0.0
lp_grossprincipalloss,113937.0,700.446342452408,2388.5138313164202,-94.2,0.0,0.0,0.0,25000.0
lp_netprincipalloss,113937.0,681.420498939765,2357.1670679280883,-954.55,0.0,0.0,0.0,25000.0
lp_nonprincipalrecoverypayments,113937.0,25.142686484636243,275.6579373477981,0.0,0.0,0.0,0.0,21117.9
percentfunded,113937.0,0.9985835233506237,0.017918824746158607,0.7,1.0,1.0,1.0,1.0125
recommendations,113937.0,0.04802654098317491,0.3323529632843213,0.0,0.0,0.0,0.0,39.0
investmentfromfriendscount,113937.0,0.023460333342110114,0.232411981264721,0.0,0.0,0.0,0.0,33.0
investmentfromfriendsamount,113937.0,16.55075076577407,294.5454219963305,0.0,0.0,0.0,0.0,25000.0
investors,113937.0,80.4752275380254,103.23901985810484,1.0,2.0,44.0,115.0,1189.0
